<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSAC.US,D,20211227,000000,9.75,9.89,9.73,9.89,189328,0
VSAC.US,D,20211228,000000,9.89,9.89,9.8798,9.89,366977,0
VSAC.US,D,20211229,000000,9.89,9.9,9.88,9.88,192351,0
VSAC.US,D,20211230,000000,9.9,9.9,9.895,9.9,166460,0
VSAC.US,D,20211231,000000,9.91,9.91,9.91,9.91,22306,0
VSAC.US,D,20220104,000000,9.91,9.91,9.91,9.91,15000,0
VSAC.US,D,20220105,000000,9.91,9.91,9.9,9.9,78750,0
VSAC.US,D,20220106,000000,9.9,9.92,9.9,9.9,159315,0
VSAC.US,D,20220107,000000,9.9,9.92,9.9,9.92,10374,0
VSAC.US,D,20220113,000000,9.92,9.92,9.92,9.92,55847,0
VSAC.US,D,20220114,000000,9.93,9.93,9.93,9.93,200,0
VSAC.US,D,20220120,000000,9.91,9.91,9.91,9.91,60000,0
VSAC.US,D,20220121,000000,9.9,9.9,9.9,9.9,500,0
VSAC.US,D,20220124,000000,9.91,9.91,9.9,9.91,19552,0
VSAC.US,D,20220125,000000,9.9,9.93,9.9,9.93,176756,0
VSAC.US,D,20220127,000000,9.93,9.93,9.9,9.93,62710,0
VSAC.US,D,20220128,000000,9.9239,9.93,9.9239,9.93,25114,0
VSAC.US,D,20220131,000000,9.93,9.93,9.91,9.91,162126,0
VSAC.US,D,20220201,000000,9.92,9.93,9.92,9.93,7394,0
VSAC.US,D,20220203,000000,9.93,9.93,9.93,9.93,414,0
VSAC.US,D,20220204,000000,9.93,9.93,9.93,9.93,13074,0
VSAC.US,D,20220207,000000,9.95,9.95,9.95,9.95,3780,0
VSAC.US,D,20220209,000000,9.93,9.93,9.91,9.92,3349,0
VSAC.US,D,20220210,000000,9.95,9.95,9.9,9.9,174700,0
VSAC.US,D,20220215,000000,9.95,9.95,9.95,9.95,120,0
VSAC.US,D,20220216,000000,9.939,9.95,9.939,9.95,603,0
VSAC.US,D,20220217,000000,9.93,9.93,9.93,9.93,548,0
VSAC.US,D,20220218,000000,9.93,9.93,9.93,9.93,101,0
VSAC.US,D,20220223,000000,9.95,9.95,9.95,9.95,12227,0
VSAC.US,D,20220224,000000,9.96,9.96,9.96,9.96,2000,0
VSAC.US,D,20220225,000000,9.95,9.95,9.95,9.95,6901,0
VSAC.US,D,20220228,000000,9.95,9.95,9.94,9.94,3133,0
VSAC.US,D,20220302,000000,9.97,9.98,9.97,9.98,3240,0
VSAC.US,D,20220303,000000,9.98,9.98,9.98,9.98,9862,0
VSAC.US,D,20220308,000000,9.97,9.97,9.96,9.9602,2701,0
VSAC.US,D,20220310,000000,9.96,9.96,9.96,9.96,400,0
VSAC.US,D,20220311,000000,9.97,9.99,9.97,9.98,45417,0
VSAC.US,D,20220315,000000,9.99,9.995,9.98,9.98,368060,0
VSAC.US,D,20220316,000000,9.98,9.98,9.98,9.98,330,0
VSAC.US,D,20220318,000000,9.98,9.99,9.98,9.98,80699,0
VSAC.US,D,20220322,000000,9.98,9.98,9.98,9.98,1102,0
