<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSME.US,D,20230928,000000,6,7.77,3.56,3.81,6265000,0
VSME.US,D,20230929,000000,4.81,6.35,4.06,4.3,4872445,0
VSME.US,D,20231002,000000,3.77,4.2157,3.56,3.8701,443796,0
VSME.US,D,20231003,000000,3.54,4,3.5,3.93,172793,0
VSME.US,D,20231004,000000,3.7,5.49,3.7,4.65,6551850,0
VSME.US,D,20231005,000000,5.64,8.64,2.12,2.27,37713436,0
VSME.US,D,20231006,000000,2.41,2.41,1.76,1.88,3376802,0
VSME.US,D,20231009,000000,1.7,1.77,1.51,1.51,1197921,0
VSME.US,D,20231010,000000,1.48,1.6,1.3601,1.4,969962,0
VSME.US,D,20231011,000000,1.41,1.6,0.81,1.1,3531902,0
VSME.US,D,20231012,000000,0.9799,1.0988,0.9601,1.03,873984,0
VSME.US,D,20231013,000000,1,1.08,0.94,1.04,567917,0
VSME.US,D,20231016,000000,1.01,1.08,0.96,0.995,681727,0
VSME.US,D,20231017,000000,0.982,1.04,0.962,0.98,365013,0
VSME.US,D,20231018,000000,1.03,1.05,0.97,1.04,220435,0
VSME.US,D,20231019,000000,1.01,1.03,0.9805,0.997,193644,0
VSME.US,D,20231020,000000,1.02,1.06,0.96,1.04,991892,0
VSME.US,D,20231023,000000,1.1,1.17,1.05,1.12,801616,0
VSME.US,D,20231024,000000,1.15,1.15,1.02,1.04,337635,0
VSME.US,D,20231025,000000,1.02,1.04,0.97,1,301200,0
VSME.US,D,20231026,000000,1.01,1.02,0.8235,0.896051,616326,0
VSME.US,D,20231027,000000,0.8799,0.8999,0.72,0.7213,426861,0
VSME.US,D,20231030,000000,0.757,0.7711,0.6701,0.68,2001761,0
VSME.US,D,20231031,000000,0.802,0.98,0.7011,0.82,18608725,0
VSME.US,D,20231101,000000,0.745,0.9263,0.745,0.864,1955176,0
VSME.US,D,20231102,000000,0.871,1.28,0.871,1.22,6597434,0
VSME.US,D,20231103,000000,1.04,1.18,1.03,1.1,1151335,0
VSME.US,D,20231106,000000,1.06,1.28,1,1.13,1785376,0
VSME.US,D,20231107,000000,1.27,1.38,1.12,1.21,1615269,0
VSME.US,D,20231108,000000,1.14,1.17,0.9,0.98,1035059,0
VSME.US,D,20231109,000000,1.01,1.07,0.95,1.02,428626,0
VSME.US,D,20231110,000000,0.989,1.02,0.9002,0.93,612164,0
VSME.US,D,20231113,000000,0.9519,0.969999,0.82,0.82,232865,0
VSME.US,D,20231114,000000,0.85,0.8882,0.71,0.7867,349176,0
