<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHLR.US,D,20121119,000000,5299.3,5299.3,4663.2,5087.09,4.362640676820292,0
WHLR.US,D,20121120,000000,5290.92,5723.35,5172.07,5180.81,38.92310649193318,0
WHLR.US,D,20121121,000000,5256.53,5256.53,5168.26,5189.18,2.521979937859589,0
WHLR.US,D,20121123,000000,5214.29,5214.29,5087.09,5087.09,4.895608114668614,0
WHLR.US,D,20121126,000000,5078.88,5087.09,4832.83,5036.66,24.978040953180155,0
WHLR.US,D,20121127,000000,5078.88,5087.09,4955.86,4960.22,11.609898929623775,0
WHLR.US,D,20121128,000000,5087.09,5087.09,4935.29,5087.09,4.494508908865238,0
WHLR.US,D,20121129,000000,5071.97,5087.09,4918.37,5069.78,10.318689157517012,0
WHLR.US,D,20121130,000000,4918.37,5087.09,4918.37,5087.09,7.719786084297871,0
WHLR.US,D,20121203,000000,5095.63,5095.63,4918.37,5027.93,7.395610013854046,0
WHLR.US,D,20121204,000000,5256.53,5256.53,4918.37,5087.09,25.126392714230725,0
WHLR.US,D,20121205,000000,5299.3,5299.3,4918.37,4968.41,7.741764122972029,0
WHLR.US,D,20121206,000000,5087.09,5095.63,4918.37,4918.37,21.22529084956774,0
WHLR.US,D,20121207,000000,5060.88,5060.88,5060.88,5060.88,0.2307694060786552,0
WHLR.US,D,20121210,000000,5078.88,5087.09,4960.22,5010.65,16.813199585730594,0
WHLR.US,D,20121211,000000,5078.88,5104.18,5036.66,5036.66,5.598905352241659,0
WHLR.US,D,20121212,000000,5027.93,5027.93,4926,4960.22,7.263741781809101,0
WHLR.US,D,20121213,000000,4968.41,4968.41,4918.37,4934.02,46.24179337042601,0
WHLR.US,D,20121214,000000,4951.49,4951.49,4918.37,4943.66,21.181334772219426,0
WHLR.US,D,20121217,000000,4926,5027.93,4918.37,4918.37,12.483525966921539,0
WHLR.US,D,20121218,000000,4943.66,5197.56,4918.37,4918.37,13.510999274938408,0
WHLR.US,D,20121219,000000,4968.41,5265.07,4918.37,5045.04,11.021986395090057,0
WHLR.US,D,20121220,000000,4918.37,5053.42,4918.37,5002.44,18.203310531871065,0
WHLR.US,D,20121221,000000,5002.44,5087.09,4918.37,4918.37,15.950561567769906,0
WHLR.US,D,20121224,000000,4926,4926,4926,4926,0.47252783149438926,0
WHLR.US,D,20121227,000000,4962.41,5441.62,4962.41,5048.3,13.708801623005828,0
WHLR.US,D,20121228,000000,5852.76,5852.76,4962.41,5057.04,11.604404419955236,0
