<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLDSW.US,D,20220913,000000,0.362,0.74,0.2509,0.314,2559034,0
WLDSW.US,D,20220914,000000,0.2501,0.3506,0.2501,0.335,224243,0
WLDSW.US,D,20220915,000000,0.2822,0.31,0.2744,0.31,56302,0
WLDSW.US,D,20220916,000000,0.28474,0.31,0.27,0.2813,50468,0
WLDSW.US,D,20220919,000000,0.252,0.2833,0.252,0.2722,49664,0
WLDSW.US,D,20220920,000000,0.252,0.327501,0.252,0.252,41332,0
WLDSW.US,D,20220921,000000,0.252,0.252,0.22,0.231,35754,0
WLDSW.US,D,20220922,000000,0.2201,0.257,0.22,0.25,22149,0
WLDSW.US,D,20220923,000000,0.2399,0.2399,0.1958,0.2,58929,0
WLDSW.US,D,20220926,000000,0.201,0.2022,0.12,0.1601,64173,0
WLDSW.US,D,20220927,000000,0.17,0.2099,0.17,0.1811,10123,0
WLDSW.US,D,20220928,000000,0.21,0.22,0.2048,0.22,15040,0
WLDSW.US,D,20220929,000000,0.195,0.29,0.195,0.29,9769,0
WLDSW.US,D,20220930,000000,0.2479,0.2488,0.195,0.2089,5819,0
WLDSW.US,D,20221003,000000,0.29,0.35,0.2102,0.3,37035,0
WLDSW.US,D,20221004,000000,0.29999,0.29999,0.2599,0.2599,937,0
WLDSW.US,D,20221005,000000,0.2401,0.2595,0.111,0.111,10940,0
WLDSW.US,D,20221006,000000,0.18,0.35,0.18,0.2,3672,0
WLDSW.US,D,20221007,000000,0.22325,0.26,0.2,0.2,8296,0
WLDSW.US,D,20221010,000000,0.2001,0.2198,0.19,0.19,15017,0
WLDSW.US,D,20221011,000000,0.19,0.202391,0.19,0.19,2292,0
WLDSW.US,D,20221012,000000,0.19,0.2,0.1642,0.1642,42669,0
WLDSW.US,D,20221013,000000,0.17,0.17,0.17,0.17,940,0
WLDSW.US,D,20221014,000000,0.17,0.2313,0.17,0.2027,6871,0
WLDSW.US,D,20221017,000000,0.17,0.1925,0.17,0.1925,15351,0
WLDSW.US,D,20221018,000000,0.17,0.1884,0.17,0.1884,8062,0
WLDSW.US,D,20221019,000000,0.17,0.205,0.17,0.17,30978,0
WLDSW.US,D,20221020,000000,0.17,0.17,0.17,0.17,15780,0
WLDSW.US,D,20221021,000000,0.155,0.16,0.15,0.16,9007,0
WLDSW.US,D,20221024,000000,0.15,0.16,0.15,0.1599,3876,0
WLDSW.US,D,20221025,000000,0.155,0.202501,0.155,0.155,2541,0
WLDSW.US,D,20221026,000000,0.155,0.1767,0.15,0.1767,22858,0
WLDSW.US,D,20221027,000000,0.15,0.15,0.15,0.15,146,0
WLDSW.US,D,20221028,000000,0.15,0.24,0.15,0.24,1608,0
WLDSW.US,D,20221031,000000,0.15,0.185,0.15,0.185,6217,0
WLDSW.US,D,20221101,000000,0.2,0.2,0.1825,0.1825,2292,0
WLDSW.US,D,20221102,000000,0.1825,0.219,0.1825,0.219,778,0
WLDSW.US,D,20221103,000000,0.157901,0.157901,0.157901,0.157901,230,0
WLDSW.US,D,20221104,000000,0.15,0.16,0.15,0.16,492,0
WLDSW.US,D,20221107,000000,0.175,0.25,0.1499,0.15,25290,0
WLDSW.US,D,20221108,000000,0.15,0.15,0.15,0.15,1000,0
WLDSW.US,D,20221109,000000,0.15,0.1506,0.111,0.111,18123,0
WLDSW.US,D,20221110,000000,0.125,0.1301,0.125,0.1301,1220,0
WLDSW.US,D,20221111,000000,0.1306,0.1306,0.125,0.125,4175,0
WLDSW.US,D,20221115,000000,0.122,0.122,0.122,0.122,168,0
WLDSW.US,D,20221117,000000,0.1164,0.1164,0.1164,0.1164,542,0
WLDSW.US,D,20221118,000000,0.112,0.1199,0.112,0.112,4049,0
WLDSW.US,D,20221121,000000,0.112,0.12,0.112,0.11332,5472,0
WLDSW.US,D,20221122,000000,0.113,0.113005,0.112,0.113005,2959,0
WLDSW.US,D,20221125,000000,0.112,0.112,0.112,0.112,1337,0
WLDSW.US,D,20221128,000000,0.112,0.12,0.112,0.12,5955,0
WLDSW.US,D,20221129,000000,0.112,0.12,0.112,0.1199,2300,0
WLDSW.US,D,20221130,000000,0.12,0.12,0.112188,0.1132,1446,0
WLDSW.US,D,20221201,000000,0.12,0.125,0.12,0.12,67222,0
WLDSW.US,D,20221202,000000,0.13,0.29,0.1226,0.29,3482,0
WLDSW.US,D,20221205,000000,0.1483,0.18,0.1483,0.18,8338,0
WLDSW.US,D,20221207,000000,0.115,0.14,0.115,0.14,2277,0
WLDSW.US,D,20221208,000000,0.1206,0.1206,0.1206,0.1206,346,0
WLDSW.US,D,20221209,000000,0.13,0.13,0.13,0.13,184,0
WLDSW.US,D,20221212,000000,0.1314,0.2999,0.1307,0.19,27869,0
WLDSW.US,D,20221213,000000,0.1216,0.2,0.1212,0.17,14894,0
WLDSW.US,D,20221214,000000,0.2189,0.2899,0.132,0.158,19471,0
WLDSW.US,D,20221215,000000,0.162,0.162,0.162,0.162,546,0
WLDSW.US,D,20221216,000000,0.2263,0.2263,0.208,0.2263,9394,0
WLDSW.US,D,20221219,000000,0.132,0.1352,0.1319,0.132,995,0
WLDSW.US,D,20221220,000000,0.142,0.1434,0.1217,0.1416,4262,0
WLDSW.US,D,20221221,000000,0.1256,0.195,0.1256,0.1497,8184,0
WLDSW.US,D,20221222,000000,0.1151,0.15,0.1151,0.15,2263,0
WLDSW.US,D,20221223,000000,0.1226,0.1226,0.115,0.115,10080,0
WLDSW.US,D,20221227,000000,0.1622,0.1698,0.1258,0.1305,7414,0
WLDSW.US,D,20221228,000000,0.1305,0.1305,0.115,0.115,900,0
WLDSW.US,D,20221230,000000,0.115,0.121199,0.115,0.121199,2999,0
WLDSW.US,D,20230103,000000,0.115,0.1212,0.115,0.115,2752,0
WLDSW.US,D,20230104,000000,0.2,0.2,0.2,0.2,15234,0
WLDSW.US,D,20230105,000000,0.2,0.2,0.2,0.2,321,0
WLDSW.US,D,20230106,000000,0.13,0.13,0.13,0.13,173,0
WLDSW.US,D,20230109,000000,0.16,0.2,0.1151,0.1151,8168,0
WLDSW.US,D,20230110,000000,0.12201,0.12201,0.115,0.115,17827,0
WLDSW.US,D,20230111,000000,0.125,0.13,0.125,0.13,1101,0
WLDSW.US,D,20230112,000000,0.14,0.14,0.14,0.14,343,0
WLDSW.US,D,20230113,000000,0.139899,0.139899,0.127499,0.127499,460,0
WLDSW.US,D,20230117,000000,0.127,0.127,0.127,0.127,574,0
WLDSW.US,D,20230120,000000,0.125,0.125,0.125,0.125,465,0
WLDSW.US,D,20230123,000000,0.117,0.117,0.117,0.117,474,0
WLDSW.US,D,20230124,000000,0.1227,0.128401,0.1187,0.128401,663,0
WLDSW.US,D,20230126,000000,0.117,0.117,0.117,0.117,228,0
WLDSW.US,D,20230127,000000,0.1295,0.14999,0.12,0.14999,36405,0
WLDSW.US,D,20230130,000000,0.1998,0.2,0.160149,0.2,5396,0
WLDSW.US,D,20230131,000000,0.149899,0.15,0.1401,0.1401,2340,0
WLDSW.US,D,20230201,000000,0.1301,0.1301,0.1301,0.1301,262,0
WLDSW.US,D,20230202,000000,0.13327,0.1333,0.1309,0.1315,1610,0
WLDSW.US,D,20230203,000000,0.1315,0.17,0.1215,0.17,826,0
WLDSW.US,D,20230209,000000,0.16,0.259999,0.155,0.1995,53456,0
WLDSW.US,D,20230210,000000,0.15,0.161801,0.12,0.16,20440,0
WLDSW.US,D,20230213,000000,0.1717,0.1717,0.1644,0.165,5031,0
WLDSW.US,D,20230214,000000,0.16,0.16,0.16,0.16,950,0
WLDSW.US,D,20230216,000000,0.1584,0.1584,0.1534,0.1582,1612,0
WLDSW.US,D,20230221,000000,0.1486,0.158501,0.1486,0.158501,281,0
WLDSW.US,D,20230227,000000,0.1201,0.1201,0.0446,0.1,12284,0
WLDSW.US,D,20230228,000000,0.1,0.100101,0.1,0.100101,1645,0
WLDSW.US,D,20230302,000000,0.1173,0.1173,0.112,0.112,513,0
WLDSW.US,D,20230303,000000,0.15,0.15,0.11,0.11,500,0
WLDSW.US,D,20230307,000000,0.1099,0.11,0.1074,0.11,2454,0
WLDSW.US,D,20230308,000000,0.109,0.12,0.109,0.12,1165,0
WLDSW.US,D,20230309,000000,0.1,0.1001,0.1,0.1001,200,0
WLDSW.US,D,20230310,000000,0.1,0.1001,0.1,0.1001,751,0
WLDSW.US,D,20230313,000000,0.111079,0.111079,0.111079,0.111079,164,0
WLDSW.US,D,20230315,000000,0.09,0.09,0.09,0.09,1166,0
WLDSW.US,D,20230316,000000,0.15,0.15,0.09,0.0901,1546,0
WLDSW.US,D,20230322,000000,0.078399,0.0784,0.078399,0.0784,558,0
