<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XCH.US,D,20240910,000000,7.25,10.96,6.4,7.36,1025900,0
XCH.US,D,20240911,000000,6.81,9.3,6.4,8.8,415956,0
XCH.US,D,20240912,000000,7.79,9.58,7.5001,8.67,596762,0
XCH.US,D,20240913,000000,7.9,8.5,7.71,7.9,533563,0
XCH.US,D,20240916,000000,7.7,8.41,7.7,8.26,413967,0
XCH.US,D,20240917,000000,8.14,11.49,8.12,11.1,204751,0
XCH.US,D,20240918,000000,10.1,18.58,10,18.37,1263559,0
XCH.US,D,20240919,000000,19.85,25.28,7.5701,13.32,1354373,0
XCH.US,D,20240920,000000,13.39,16.5,12,15,241554,0
XCH.US,D,20240923,000000,14.63,16,12.72,12.95,94840,0
XCH.US,D,20240924,000000,12.75,13.9997,11.59,11.75,152888,0
XCH.US,D,20240925,000000,12,12.6204,11.0102,11.56,39027,0
XCH.US,D,20240926,000000,12.2,12.4,9.08,10.45,102758,0
XCH.US,D,20240927,000000,10.05,11.24,10.0103,11.24,25483,0
XCH.US,D,20240930,000000,11.38,11.6,10,10.19,95350,0
XCH.US,D,20241001,000000,9.86,14.39,9.7622,13.6,201730,0
XCH.US,D,20241002,000000,14.38,14.9894,12.4,14.52,106533,0
XCH.US,D,20241003,000000,14.72,14.72,12.594,13.275,74362,0
XCH.US,D,20241004,000000,13.69,14.2977,13.2,13.55,27326,0
XCH.US,D,20241007,000000,13.48,14.5,13.22,13.82,35171,0
XCH.US,D,20241008,000000,13.82,14.2356,12.29,12.29,83741,0
XCH.US,D,20241009,000000,12.648,13.04,12.21,12.43,35030,0
XCH.US,D,20241010,000000,12.43,13.15,10.51,12.83,48799,0
XCH.US,D,20241011,000000,11.7019,13.88,11.6,13.19,23370,0
XCH.US,D,20241014,000000,13.13,14.29,13.13,13.61,51576,0
XCH.US,D,20241015,000000,14.295,14.8,13.32,14.775,69759,0
XCH.US,D,20241016,000000,14.4,19.88,13.81,17.3,155428,0
XCH.US,D,20241017,000000,17.53,19.9211,17.53,19.15,82448,0
XCH.US,D,20241018,000000,20,24,13.65,18.41,143669,0
XCH.US,D,20241021,000000,17.9,21.66,17.9,20.395,71260,0
XCH.US,D,20241022,000000,20.43,20.9771,19.71,20.74,9124,0
XCH.US,D,20241023,000000,20.29,25,20.21,24.79,92749,0
XCH.US,D,20241024,000000,27.49,27.49,20.63,24.48,175226,0
XCH.US,D,20241025,000000,24.5,28.9287,22.75,28,44540,0
XCH.US,D,20241028,000000,27.96,30.47,23.95,26.7899,53502,0
XCH.US,D,20241029,000000,26.57,27.6,24.5,26,37888,0
