<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XCNY.US,D,20240917,000000,25.521,25.521,25.521,25.521,50,0
XCNY.US,D,20240918,000000,25.51,25.58,25.5099,25.515,6401,0
XCNY.US,D,20240919,000000,25.94,25.94,25.9003,25.9003,5104,0
XCNY.US,D,20240920,000000,25.83,25.9,25.7933,25.7933,2793,0
XCNY.US,D,20240923,000000,25.8714,26.13,25.8714,25.8714,1784,0
XCNY.US,D,20240924,000000,26.21,26.345,26.1798,26.345,2026,0
XCNY.US,D,20240925,000000,26.41,26.41,26.205,26.205,611,0
XCNY.US,D,20240926,000000,26.48,26.525,26.47,26.525,1193,0
XCNY.US,D,20240927,000000,26.54,26.54,26.335,26.335,593,0
XCNY.US,D,20241001,000000,25.78,25.78,25.775,25.775,412,0
XCNY.US,D,20241002,000000,25.57,25.7736,25.55,25.7736,3600,0
XCNY.US,D,20241003,000000,25.468,25.468,25.468,25.468,13,0
XCNY.US,D,20241004,000000,25.4731,25.4731,25.4731,25.4731,12,0
XCNY.US,D,20241007,000000,25.28,25.29,25.21,25.21,325,0
XCNY.US,D,20241008,000000,25.532,25.532,25.532,25.532,15016,0
XCNY.US,D,20241009,000000,25.5462,25.5462,25.5462,25.5462,3,0
XCNY.US,D,20241010,000000,25.5157,25.5157,25.5157,25.5157,4,0
XCNY.US,D,20241011,000000,25.6553,25.6553,25.6553,25.6553,9,0
XCNY.US,D,20241014,000000,25.7299,25.7299,25.695,25.695,302,0
XCNY.US,D,20241015,000000,25.505,25.505,25.505,25.505,21,0
XCNY.US,D,20241016,000000,25.668,25.668,25.668,25.668,6,0
XCNY.US,D,20241017,000000,25.83,25.85,25.755,25.755,1375,0
XCNY.US,D,20241018,000000,25.7695,25.7695,25.7695,25.7695,49,0
XCNY.US,D,20241021,000000,25.73,25.73,25.6561,25.6561,458,0
XCNY.US,D,20241022,000000,25.49,25.49,25.49,25.49,49,0
XCNY.US,D,20241023,000000,25.285,25.285,25.285,25.285,24,0
XCNY.US,D,20241024,000000,25.33,25.33,25.3092,25.3092,401,0
XCNY.US,D,20241025,000000,25.25,25.25,25.25,25.25,20,0
XCNY.US,D,20241028,000000,25.2,25.2319,25.2,25.2319,128,0
