<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XTKG.US,D,20190402,000000,1320,1413.6,1224,1233.6,3067.9458026539,0
XTKG.US,D,20190403,000000,1281.6,1884,1248.02,1723.2,7548.2874245171,0
XTKG.US,D,20190404,000000,1740,1800,1404,1411.2,2845.2499715475,0
XTKG.US,D,20190405,000000,1437.6,1648.8,1437.6,1483.2,2120.8833121245,0
XTKG.US,D,20190408,000000,1526.4,1632,1476,1533.6,1242.2541542441,0
XTKG.US,D,20190409,000000,1488,1619.98,1488,1531.2,601.53749398463,0
XTKG.US,D,20190410,000000,1536,1549.73,1363.2,1370.4,941.22082392112,0
XTKG.US,D,20190411,000000,1368,1440,1332,1346.4,588.13749411862,0
XTKG.US,D,20190412,000000,1408.8,1440,1305.6,1372.8,1124.8291554184,0
XTKG.US,D,20190415,000000,1324.8,1372.8,1296,1296,402.533329308,0
XTKG.US,D,20190416,000000,1296,1346.16,1027.2,1185.6,1123.399988766,0
XTKG.US,D,20190417,000000,1188,1248,1116,1164,883.02082450313,0
XTKG.US,D,20190418,000000,1154.4,1320,1138.34,1269.6,1025.2874897471,0
XTKG.US,D,20190422,000000,1216.8,1320,1216.8,1240.8,396.44166270225,0
XTKG.US,D,20190423,000000,1243.2,1312.8,1226.4,1245.6,731.08749268913,0
XTKG.US,D,20190424,000000,1240.8,1289.18,1200,1231.2,338.87916327788,0
XTKG.US,D,20190425,000000,1269.6,1269.6,1120.8,1166.4,423.8833290945,0
XTKG.US,D,20190426,000000,1159.2,1176,1104,1142.4,418.49582914837,0
XTKG.US,D,20190429,000000,1144.8,1152,1106.4,1138.8,283.59583049738,0
XTKG.US,D,20190430,000000,1125.6,1176,1104,1164,337.60416329063,0
XTKG.US,D,20190501,000000,1161.6,1199.74,1116,1161.6,136.34583196988,0
XTKG.US,D,20190502,000000,1173.6,1224,1128,1216.8,128.4833320485,0
XTKG.US,D,20190503,000000,1173.29,1238.4,1164.02,1238.4,119.1166654755,0
XTKG.US,D,20190506,000000,1183.2,1233.6,1142.4,1207.2,167.66666499,0
XTKG.US,D,20190507,000000,1197.6,1339.2,1197.6,1291.2,543.72082789613,0
XTKG.US,D,20190508,000000,1291.2,1306.8,1238.42,1267.2,229.97916436688,0
XTKG.US,D,20190509,000000,1281.6,1281.6,1176,1222.8,317.07916349587,0
XTKG.US,D,20190510,000000,1228.8,1228.8,1154.4,1200,174.699998253,0
XTKG.US,D,20190513,000000,1212,1222.46,1128.02,1154.4,71.99999928,0
XTKG.US,D,20190514,000000,1176,1200,1128,1178.4,45.9166662075,0
XTKG.US,D,20190515,000000,1200,1200,1154.4,1171.2,42.304166243625,0
XTKG.US,D,20190516,000000,1202.64,1219.2,1116,1140,59.90833273425,0
XTKG.US,D,20190517,000000,1128,1147.2,1041.6,1051.2,203.48749796512,0
XTKG.US,D,20190520,000000,1060.8,1060.8,736.8,907.176,776.02499223975,0
XTKG.US,D,20190521,000000,892.8,943.2,840,912,175.42499824575,0
XTKG.US,D,20190522,000000,909.6,1039.2,890.4,1036.8,177.37499822625,0
XTKG.US,D,20190523,000000,1000.8,1022.4,936,936,42.00833291325,0
XTKG.US,D,20190524,000000,960,988.8,929.04,929.04,31.920833014125,0
XTKG.US,D,20190528,000000,936,986.4,892.8,895.2,81.94166584725,0
XTKG.US,D,20190529,000000,943.2,1000.8,895.2,986.4,168.7833316455,0
XTKG.US,D,20190530,000000,976.8,1005.6,945.504,960,45.29166621375,0
XTKG.US,D,20190531,000000,984,984,876,914.4,93.7166657295,0
XTKG.US,D,20190603,000000,948,969.6,871.2,871.2,20.30833313025,0
XTKG.US,D,20190604,000000,873.6,952.8,873.6,938.4,38.554166281125,0
XTKG.US,D,20190605,000000,938.4,981.6,928.8,960,45.67499954325,0
XTKG.US,D,20190606,000000,976.8,979.2,888,938.4,51.09166615575,0
XTKG.US,D,20190607,000000,895.2,948,823.2,936,177.91249822087,0
XTKG.US,D,20190610,000000,938.4,938.4,871.2,936,31.054166356125,0
XTKG.US,D,20190611,000000,936,948,888,924,25.4166664125,0
XTKG.US,D,20190612,000000,890.4,933.6,864,890.4,35.833332975,0
XTKG.US,D,20190613,000000,914.4,924,842.4,912,25.07499974925,0
XTKG.US,D,20190614,000000,866.4,933.6,815.136,852,21.0166664565,0
XTKG.US,D,20190617,000000,871.2,897.336,843.6,871.2,20.2499997975,0
