<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YGMZ.US,D,20201021,000000,4.4,5.22,4.25,4.25,705200,0
YGMZ.US,D,20201022,000000,4.25,4.34,3.91,3.91,151985,0
YGMZ.US,D,20201023,000000,3.9101,4,3.9,3.9,45242,0
YGMZ.US,D,20201026,000000,3.9,4.014,3.9,3.9,37142,0
YGMZ.US,D,20201027,000000,3.9,3.9435,3.85,3.85,18975,0
YGMZ.US,D,20201028,000000,3.85,3.8797,3.85,3.855,10808,0
YGMZ.US,D,20201029,000000,3.85,3.8878,3.85,3.8646,11796,0
YGMZ.US,D,20201030,000000,3.85,3.88,3.8,3.8,18143,0
YGMZ.US,D,20201102,000000,3.8001,3.84,3.8,3.8,6676,0
YGMZ.US,D,20201103,000000,3.8,3.8449,3.8,3.81,4184,0
YGMZ.US,D,20201104,000000,3.8,3.9193,3.8,3.8001,2018,0
YGMZ.US,D,20201105,000000,3.9,4,3.8,3.81,16384,0
YGMZ.US,D,20201106,000000,3.82,3.82,3.71,3.74,5354,0
YGMZ.US,D,20201109,000000,3.98,3.98,3.8,3.87,6859,0
YGMZ.US,D,20201110,000000,3.9507,4.12,3.8301,3.91,21301,0
YGMZ.US,D,20201111,000000,3.85,4.05,3.85,3.9879,29919,0
YGMZ.US,D,20201112,000000,4.0623,4.49,4,4,69935,0
YGMZ.US,D,20201113,000000,4,4,3.7217,3.7217,36949,0
YGMZ.US,D,20201116,000000,3.91,3.91,3.7451,3.815,2556,0
YGMZ.US,D,20201117,000000,3.85,3.9,3.71,3.775,5661,0
YGMZ.US,D,20201118,000000,3.7201,3.76,3.7201,3.745,1832,0
YGMZ.US,D,20201119,000000,3.92,3.92,3.7,3.7,5613,0
YGMZ.US,D,20201120,000000,3.71,3.92,3.71,3.8,12906,0
YGMZ.US,D,20201123,000000,3.8867,3.925,3.77,3.77,18123,0
YGMZ.US,D,20201124,000000,3.83,4,3.82,3.86,15593,0
YGMZ.US,D,20201125,000000,3.8735,4.3,3.87,4.01,69614,0
YGMZ.US,D,20201127,000000,4.0314,4.1726,4.01,4.1726,3622,0
YGMZ.US,D,20201130,000000,4.18,4.278,4.15,4.15,22466,0
YGMZ.US,D,20201201,000000,4.2092,4.2564,4.19,4.1901,10528,0
YGMZ.US,D,20201202,000000,4.18,4.26,4.1,4.1509,7338,0
YGMZ.US,D,20201203,000000,4.3461,4.4,4.19,4.2243,68572,0
YGMZ.US,D,20201204,000000,4.22,4.24,3.6585,4.01,237465,0
YGMZ.US,D,20201207,000000,4.06,4.075,4,4,15639,0
YGMZ.US,D,20201208,000000,3.99,4.0865,3.99,4.04,11942,0
YGMZ.US,D,20201209,000000,4.2122,4.2122,3.95,4.06,24112,0
YGMZ.US,D,20201210,000000,4.05,4.07,4,4.055,8431,0
YGMZ.US,D,20201211,000000,4.0807,4.15,4.03,4.15,6782,0
YGMZ.US,D,20201214,000000,4.15,4.4,3.9,3.9001,144296,0
YGMZ.US,D,20201215,000000,3.9,4.01,3.9,4,4952,0
YGMZ.US,D,20201216,000000,4.0319,4.0839,4,4.04,5896,0
YGMZ.US,D,20201217,000000,4.3,18.84,4.3,17.5,23941146,0
YGMZ.US,D,20201218,000000,17,17.39,10.52,11.24,3456735,0
YGMZ.US,D,20201221,000000,9.89,9.95,8.37,9.23,655517,0
YGMZ.US,D,20201222,000000,8.74,13.85,8.74,10.3,3161925,0
YGMZ.US,D,20201223,000000,9.7,11.85,9.7,11.05,428176,0
YGMZ.US,D,20201224,000000,11,11.7999,10.6001,11.58,181010,0
YGMZ.US,D,20201228,000000,11.78,11.78,10.02,10.3,148740,0
YGMZ.US,D,20201229,000000,10.27,10.8399,10.0009,10.58,71250,0
YGMZ.US,D,20201230,000000,10.58,10.82,10.28,10.6,157474,0
YGMZ.US,D,20201231,000000,10.46,10.54,10.02,10.16,182942,0
YGMZ.US,D,20210104,000000,10.17,10.42,9.53,9.82,301461,0
YGMZ.US,D,20210105,000000,9.69,9.99,9.57,9.8,415762,0
YGMZ.US,D,20210106,000000,9.73,10.69,9.73,10.5,60505,0
YGMZ.US,D,20210107,000000,10.55,10.9999,10.5,10.82,32176,0
YGMZ.US,D,20210108,000000,10.99,11.5,10.6,10.9,70027,0
YGMZ.US,D,20210111,000000,11.06,11.2341,10.57,10.82,30475,0
YGMZ.US,D,20210112,000000,10.82,11.27,10.1,10.27,30901,0
YGMZ.US,D,20210113,000000,10.45,10.59,10.16,10.31,21889,0
YGMZ.US,D,20210114,000000,10.37,10.8738,10.345,10.63,20978,0
YGMZ.US,D,20210115,000000,10.65,10.65,10.3015,10.6,21364,0
YGMZ.US,D,20210119,000000,10.97,13.68,10.97,12.04,126993,0
YGMZ.US,D,20210120,000000,12.51,13.84,11.56,12.81,109055,0
YGMZ.US,D,20210121,000000,12.81,13.45,12.5965,12.77,23672,0
YGMZ.US,D,20210122,000000,12.9,17.9,12.84,17.3,148243,0
YGMZ.US,D,20210125,000000,17.72,29,17.72,26.78,283689,0
YGMZ.US,D,20210126,000000,25.45,25.9999,22.26,23.79,79826,0
YGMZ.US,D,20210127,000000,23.18,29.8,21.3,27.8,377561,0
YGMZ.US,D,20210128,000000,27,34.9,25.58,33.6,218654,0
YGMZ.US,D,20210129,000000,33.12,37.5,29.7,35.34,120686,0
YGMZ.US,D,20210201,000000,37.26,58,22.01,23.2,6620668,0
YGMZ.US,D,20210202,000000,15.895,16.9,13,13.59,2531518,0
YGMZ.US,D,20210203,000000,14,14.08,10.8,12.1,3172708,0
YGMZ.US,D,20210204,000000,11.98,13.1,10.8,11.85,2062248,0
YGMZ.US,D,20210205,000000,11.86,13.33,11.3,12.15,2102626,0
YGMZ.US,D,20210208,000000,12.19,13.69,11.5,13.39,2044773,0
YGMZ.US,D,20210209,000000,13.33,13.41,12.23,12.6,1017867,0
YGMZ.US,D,20210210,000000,12.38,12.5,10.8,11.2,1343017,0
YGMZ.US,D,20210211,000000,11.4,11.5,10.88,11,362849,0
YGMZ.US,D,20210212,000000,11.06,13.12,10.51,11.88,2850764,0
YGMZ.US,D,20210216,000000,12.16,12.7399,11.6,11.82,610195,0
YGMZ.US,D,20210217,000000,12.03,12.03,11.12,11.53,456211,0
YGMZ.US,D,20210218,000000,11.25,11.62,10.7,10.83,508321,0
YGMZ.US,D,20210219,000000,10.83,11.5,10.78,10.9,377280,0
YGMZ.US,D,20210222,000000,11,11.24,9.19,9.9,358204,0
YGMZ.US,D,20210223,000000,9.5,9.7,8,8.27,493991,0
YGMZ.US,D,20210224,000000,9.21,9.88,9.08,9.51,455968,0
YGMZ.US,D,20210225,000000,10.1,10.2999,8.61,8.74,562874,0
YGMZ.US,D,20210226,000000,9.05,9.05,8.31,8.48,315669,0
YGMZ.US,D,20210301,000000,9.12,9.45,8.611,8.99,475217,0
YGMZ.US,D,20210302,000000,8.98,8.98,8.35,8.5,376960,0
YGMZ.US,D,20210303,000000,9.3006,12.6,9.0901,10.64,9471784,0
YGMZ.US,D,20210304,000000,10.34,10.52,8.18,8.44,1012853,0
YGMZ.US,D,20210305,000000,8.6775,8.78,7.11,8.15,392756,0
YGMZ.US,D,20210308,000000,7.97,8.12,7.45,7.94,315637,0
YGMZ.US,D,20210309,000000,7.93,8.1439,7.2,7.38,781439,0
YGMZ.US,D,20210310,000000,6.32,6.4,5.33,5.4,4632572,0
YGMZ.US,D,20210311,000000,5.65,5.93,5.5,5.8,3296123,0
YGMZ.US,D,20210312,000000,5.52,6.15,5.38,5.98,3535477,0
YGMZ.US,D,20210315,000000,6.1,6.1,5.66,5.86,1375106,0
YGMZ.US,D,20210316,000000,5.85,5.85,5.52,5.56,1023272,0
YGMZ.US,D,20210317,000000,5.4,5.93,5.4,5.77,1204412,0
YGMZ.US,D,20210318,000000,5.75,6.65,5.55,5.92,4188875,0
YGMZ.US,D,20210319,000000,6,6.28,5.85,6.1,1087917,0
YGMZ.US,D,20210322,000000,6.02,6.1,5.72,5.77,969296,0
YGMZ.US,D,20210323,000000,5.81,5.87,5.41,5.43,539018,0
YGMZ.US,D,20210324,000000,5.48,5.49,5.19,5.21,653440,0
YGMZ.US,D,20210325,000000,4.94,5.1,4.67,4.95,1017947,0
YGMZ.US,D,20210326,000000,5.05,5.34,4.91,5.07,546152,0
YGMZ.US,D,20210329,000000,5.1535,5.19,4.7,4.77,420945,0
YGMZ.US,D,20210330,000000,4.74,4.7499,4.45,4.69,388504,0
YGMZ.US,D,20210331,000000,4.74,4.8801,4.59,4.59,373557,0
YGMZ.US,D,20210401,000000,4.82,6.26,4.7066,5.47,5583135,0
YGMZ.US,D,20210405,000000,5.44,5.78,5.07,5.33,1263882,0
YGMZ.US,D,20210406,000000,5.22,5.33,5.06,5.14,471403,0
YGMZ.US,D,20210407,000000,5.3,5.31,4.9,4.99,444320,0
YGMZ.US,D,20210408,000000,4.96,5.43,4.75,5.08,817891,0
YGMZ.US,D,20210409,000000,4.98,5.1,4.84,4.9,245379,0
YGMZ.US,D,20210412,000000,4.81,4.85,4.55,4.6,429296,0
YGMZ.US,D,20210413,000000,4.55,4.8,4.42,4.76,341824,0
YGMZ.US,D,20210414,000000,4.69,4.76,4.6,4.66,163101,0
YGMZ.US,D,20210415,000000,4.66,4.7,4.35,4.41,265177,0
YGMZ.US,D,20210416,000000,4.41,4.4799,4.2,4.41,335495,0
YGMZ.US,D,20210419,000000,4.2,4.38,4.11,4.15,296379,0
YGMZ.US,D,20210420,000000,4.15,4.1994,3.95,4.01,277276,0
YGMZ.US,D,20210421,000000,3.9,4.24,3.9,4.08,269444,0
YGMZ.US,D,20210422,000000,4.27,4.48,4.0501,4.25,408033,0
YGMZ.US,D,20210423,000000,4.34,4.4399,4.26,4.34,150118,0
