<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YYAI.US,D,20220615,000000,92,116.8,71.6,78.8,13480,0
YYAI.US,D,20220616,000000,74,78,63.6,66.8,2895,0
YYAI.US,D,20220617,000000,69.6,77.2,64,64.4,2029.05,0
YYAI.US,D,20220621,000000,64,71.2,61.2,64.88,421.725,0
YYAI.US,D,20220622,000000,67.2,75.664,60,70.8,1695.425,0
YYAI.US,D,20220623,000000,76,76,60,61.2,1026.975,0
YYAI.US,D,20220624,000000,61.6,63.996,59.204,60.4,579.175,0
YYAI.US,D,20220627,000000,65.2,65.2,56,56.4,628.15,0
YYAI.US,D,20220628,000000,58,63.6,56,62.292,1303.75,0
YYAI.US,D,20220629,000000,66.4,66.4,60.8,61.988,577.525,0
YYAI.US,D,20220630,000000,61.2,62.8,58.4,59.2,119.575,0
YYAI.US,D,20220701,000000,58.4,60,56,57.52,351.025,0
YYAI.US,D,20220705,000000,62.4,62.4,56,57.2,972.05,0
YYAI.US,D,20220706,000000,56,56,47.2,49.6,943.575,0
YYAI.US,D,20220707,000000,49.6,51.996,38.8,42,6309.725,0
YYAI.US,D,20220708,000000,40.8,47.996,38.8,45.596,3578.35,0
YYAI.US,D,20220711,000000,43.68,44,35.2,36.8,10092.85,0
YYAI.US,D,20220712,000000,39.2,39.2,33.2,35.2,2969.35,0
YYAI.US,D,20220713,000000,35.2,38,32.624,34.52,3160.95,0
YYAI.US,D,20220714,000000,34.6,34.6,32.6,34.392,1705.925,0
YYAI.US,D,20220715,000000,35.28,39.6,34.996,38.392,6955.65,0
YYAI.US,D,20220718,000000,37.6,37.6,34.008,35.6,1405.4,0
YYAI.US,D,20220719,000000,37.2,37.2,34.1,35.6,1529.025,0
YYAI.US,D,20220720,000000,37.6,37.6,35.604,36.568,1160.05,0
YYAI.US,D,20220721,000000,36.196,37.36,35.2,36.868,5104.475,0
YYAI.US,D,20220722,000000,37.2,38.34,34.8,36.996,2736.15,0
YYAI.US,D,20220725,000000,38.484,38.484,35,36,522.475,0
YYAI.US,D,20220726,000000,37,37,34.404,35.2,585.625,0
YYAI.US,D,20220727,000000,35.2,36,31.204,35.74,1160.25,0
YYAI.US,D,20220728,000000,32.248,35.5,30.8,34.396,3282.175,0
YYAI.US,D,20220729,000000,31.2,38,31.2,36,6942.175,0
YYAI.US,D,20220801,000000,38,43.2,34.8,36.04,13860.225,0
YYAI.US,D,20220802,000000,38,51.2,36.04,43.2,37766.125,0
YYAI.US,D,20220803,000000,44.8,77.6,44.4,58.4,56953.25,0
YYAI.US,D,20220804,000000,52.4,55.2,41.2,43.2,9291.225,0
YYAI.US,D,20220805,000000,42,50,41.2,44,5921,0
YYAI.US,D,20220808,000000,44.8,47.6,39.2,39.988,4989.4,0
YYAI.US,D,20220809,000000,39.96,42.292,35.6,36.808,2751.775,0
YYAI.US,D,20220810,000000,35.892,38.2,35.892,36.6,1338.425,0
YYAI.US,D,20220811,000000,37.2,37.2,34.4,35.232,1551.5,0
YYAI.US,D,20220812,000000,35.94,38.032,35.4,37.24,1305.25,0
YYAI.US,D,20220815,000000,37.24,37.988,35.9481,37.9,416.275,0
YYAI.US,D,20220816,000000,37.596,39.2,35.04,39.196,2127.5,0
YYAI.US,D,20220817,000000,38.792,39.192,36.4,37.6,747.125,0
YYAI.US,D,20220818,000000,39.196,39.196,36.844,38.604,1065.575,0
YYAI.US,D,20220819,000000,37.6004,38.5,36.316,37.492,1710.625,0
YYAI.US,D,20220822,000000,36.46,38,36.04,37.648,2129.575,0
YYAI.US,D,20220823,000000,37.2,42.396,37.004,40,2378.575,0
YYAI.US,D,20220824,000000,38.004,40.796,38,39.9,573.3,0
YYAI.US,D,20220825,000000,40.004,41.6,38.4,40.4,3769.125,0
YYAI.US,D,20220826,000000,39.84,40.8,37.2,38.56,2641.7,0
YYAI.US,D,20220829,000000,38,38.996,36.8,36.844,826.125,0
YYAI.US,D,20220830,000000,36.84,36.84,30.602,34.004,5542.1,0
YYAI.US,D,20220831,000000,32.404,36,32.404,34.908,1144.05,0
YYAI.US,D,20220901,000000,35.552,36.4,33.064,35.968,625.95,0
YYAI.US,D,20220902,000000,37.596,37.6,35.264,37.008,305.25,0
YYAI.US,D,20220906,000000,39,39,35.224,38.216,728.55,0
YYAI.US,D,20220907,000000,39.2,39.2,31.2,32.32,3922.675,0
YYAI.US,D,20220908,000000,31.604,33.784,30.4,33.196,1373.35,0
YYAI.US,D,20220909,000000,33.196,33.196,28.7,29.56,3052.425,0
YYAI.US,D,20220912,000000,30.6,30.6,27.2,29.192,1858.375,0
YYAI.US,D,20220913,000000,29.2,29.2,26.544,28.796,1555.15,0
YYAI.US,D,20220914,000000,27.352,27.992,26,27.968,875.8,0
YYAI.US,D,20220915,000000,27.968,27.968,26.012,26.812,1390.55,0
YYAI.US,D,20220916,000000,26.608,27.308,24.8,24.8,1855.275,0
YYAI.US,D,20220919,000000,23.408,29.4,16.4,18.604,7370.5,0
YYAI.US,D,20220920,000000,20,20.8,19.16,19.16,2609.325,0
YYAI.US,D,20220921,000000,19.2,21.404,18.8,18.8,593.725,0
YYAI.US,D,20220922,000000,18.8,22.8,18.8,19.432,3030.85,0
YYAI.US,D,20220923,000000,21.2,21.2,16.8,16.8,1221.275,0
YYAI.US,D,20220926,000000,17.7514,17.852,16.6,16.6,478.525,0
YYAI.US,D,20220927,000000,16.8,17.236,14.404,15.6,1573.225,0
YYAI.US,D,20220928,000000,14.516,19.2,14.516,17.2,1876.725,0
YYAI.US,D,20220929,000000,14.4,21,13.8,14.8,13211.2,0
YYAI.US,D,20220930,000000,16.4,18.202,13.3613,13.6,4439.3,0
YYAI.US,D,20221003,000000,13.2,14.3064,11.604,11.604,6227.6,0
YYAI.US,D,20221004,000000,21.9,32,17.22,18.8,671240.5,0
YYAI.US,D,20221005,000000,15.2,20.2,14.08,15.6,29249.65,0
YYAI.US,D,20221006,000000,17.972,18.4,14.52,14.532,11108.4,0
YYAI.US,D,20221007,000000,15.08,15.6181,11.396,12.8,12268.05,0
YYAI.US,D,20221010,000000,12.48,12.548,10.828,11.56,7779.7,0
YYAI.US,D,20221011,000000,12.936,12.936,10,10.6,9137.425,0
YYAI.US,D,20221012,000000,10.4,10.8,8.42,9.748,6364.75,0
YYAI.US,D,20221013,000000,10,10.004,8.84,9.24,10112.85,0
YYAI.US,D,20221014,000000,14.604,15.204,10.482,10.812,169683.175,0
YYAI.US,D,20221017,000000,11.164,12,10,10.876,18843.375,0
YYAI.US,D,20221018,000000,10.56,11.556,9.4,10.828,9666.275,0
YYAI.US,D,20221019,000000,11.068,11.552,8.8,9.636,6092.325,0
YYAI.US,D,20221020,000000,9.536,10.796,9.24,10.08,8534.275,0
YYAI.US,D,20221021,000000,10.08,10.596,9.212,10,3875.775,0
YYAI.US,D,20221024,000000,9.72,10.596,9.524,10,2435.9,0
YYAI.US,D,20221025,000000,9.272,10.392,9.044,9.576,3148.05,0
YYAI.US,D,20221026,000000,9.944,10.196,9.22004,9.952,5147.35,0
YYAI.US,D,20221027,000000,9.716,10.7956,9.624,10.576,5972.175,0
YYAI.US,D,20221028,000000,9.52,10.668,9.5,10.304,1151.3,0
YYAI.US,D,20221031,000000,10,10.8,9.232,10.404,4496.85,0
YYAI.US,D,20221101,000000,10.4,10.84,9.604,10.6,2054.1,0
YYAI.US,D,20221102,000000,10.1,10.6,9.7,10.2,1774.325,0
YYAI.US,D,20221103,000000,10,10.4,9.204,9.992,1426.55,0
YYAI.US,D,20221104,000000,9.4,9.756,9.036,9.6,1818.475,0
YYAI.US,D,20221107,000000,9.204,9.996,8.68,9.6,6273.725,0
YYAI.US,D,20221108,000000,9.36,9.596,8.68,8.692,1530.2,0
