<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZENA.US,D,20241002,000000,6.75,7.4805,6.09,6.35,232369,0
ZENA.US,D,20241003,000000,6.5,6.75,5.41,5.55,109945,0
ZENA.US,D,20241004,000000,5.55,5.7,3.9001,3.91,213243,0
ZENA.US,D,20241007,000000,3.95,3.953,2.59,2.77,242009,0
ZENA.US,D,20241008,000000,2.79,2.9,2.22,2.41,203295,0
ZENA.US,D,20241009,000000,2.4,2.43,1.7701,1.849,196749,0
ZENA.US,D,20241010,000000,1.9,2.07,1.75,1.77,137961,0
ZENA.US,D,20241011,000000,2.77,3.1199,2.26,2.45,47353548,0
ZENA.US,D,20241014,000000,2.24,2.34,2.16,2.23,1900026,0
ZENA.US,D,20241015,000000,2.16,2.25,1.8808,1.97,829007,0
ZENA.US,D,20241016,000000,2,2.5,1.97,2.46,1006529,0
ZENA.US,D,20241017,000000,2.44,2.6,2.17,2.17,497888,0
ZENA.US,D,20241018,000000,2.2,2.2399,2.1,2.14,310570,0
ZENA.US,D,20241021,000000,2.12,2.19,1.97,2.02,211362,0
ZENA.US,D,20241022,000000,2.05,2.08,1.86,1.91,184170,0
ZENA.US,D,20241023,000000,1.88,1.98,1.7,1.76,441503,0
ZENA.US,D,20241024,000000,2.91,2.93,2.03,2.16,54982740,0
ZENA.US,D,20241025,000000,2.06,2.24,2.05,2.21,2053930,0
ZENA.US,D,20241028,000000,2.07,2.28,2.07,2.11,977193,0
ZENA.US,D,20241029,000000,2.21,2.2115,1.98,2.06,749435,0
