<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZJK.US,D,20240930,000000,5.5,6,5,5,1090400,0
ZJK.US,D,20241001,000000,4.75,5.5,4.61,5,196720,0
ZJK.US,D,20241002,000000,4.88,5.51,4.6,5.17,431977,0
ZJK.US,D,20241003,000000,5.18,5.2,4.81,4.96,51538,0
ZJK.US,D,20241004,000000,4.8071,5.1895,4.7736,5,30995,0
ZJK.US,D,20241007,000000,4.8,6.8,4.78,6.8,823883,0
ZJK.US,D,20241008,000000,4.7,5.25,4.53,4.92,368393,0
ZJK.US,D,20241009,000000,4.85,5.0399,4.64,4.75,243541,0
ZJK.US,D,20241010,000000,4.59,4.87,4.44,4.44,96995,0
ZJK.US,D,20241011,000000,4.5,4.7,4.31,4.46,44108,0
ZJK.US,D,20241014,000000,4.35,4.68,4.3201,4.65,95472,0
ZJK.US,D,20241015,000000,4.66,4.83,4.5201,4.58,131132,0
ZJK.US,D,20241016,000000,4.83,4.83,4.39,4.44,106397,0
ZJK.US,D,20241017,000000,4.401,4.47,4,4.03,113594,0
ZJK.US,D,20241018,000000,4.2047,4.74,4.07,4.66,78911,0
ZJK.US,D,20241021,000000,4.51,4.75,4.4,4.591,33360,0
ZJK.US,D,20241022,000000,4.74,5.4,4.43,5.25,80298,0
ZJK.US,D,20241023,000000,5.09,5.5,4.965,5.2001,35783,0
ZJK.US,D,20241024,000000,5.2,5.3,4.82,4.99,72117,0
ZJK.US,D,20241025,000000,4.9,5.04,4.8,4.93,7750,0
ZJK.US,D,20241028,000000,4.81,4.8201,4.49,4.49,35275,0
ZJK.US,D,20241029,000000,4.68,5.05,4.68,5.05,23719,0
