Date,PPIACO,CPIAUCSL,UNRATE,GDP,DGS2,DCOILWTICO,DGS10,RSXFS,DTWEXBGS,FEDFUNDS,VIXCLS,PERMIT
2015-01-01,192.0,234.747,5.7,18063.529,.,.,.,385312.0,.,0.11,.,1049.0
2015-02-01,191.1,235.342,5.5,18063.529,.,.,.,384779.0,.,0.11,.,1127.0
2015-03-01,191.5,235.976,5.4,18063.529,.,.,.,390738.0,.,0.11,.,1072.0
2015-04-01,190.9,236.222,5.4,18279.784,0.55,50.12,1.87,391246.0,107.06,0.12,15.11,1166.0
2015-05-01,193.4,237.001,5.6,18279.784,0.60,59.10,2.12,394260.0,105.6382,0.12,12.70,1272.0
2015-06-01,194.8,237.657,5.3,18279.784,0.64,60.24,2.19,394652.0,107.2238,0.13,13.97,1379.0
2015-07-01,193.9,238.034,5.2,18401.626,0.69,56.94,2.43,397994.0,107.0101,0.13,16.09,1140.0
2015-08-01,191.9,238.033,5.1,18401.626,0.69,56.94,2.43,397712.0,107.0101,0.14,16.09,1165.0
2015-09-01,189.1,237.498,5.0,18401.626,0.70,45.38,2.17,395625.0,110.4506,0.14,31.40,1144.0
2015-10-01,187.5,237.733,5.0,18435.137,0.64,44.75,2.05,394121.0,111.0439,0.12,22.55,1160.0
2015-11-01,185.7,238.017,5.1,18435.137,0.64,44.75,2.05,395827.0,111.0439,0.12,22.55,1244.0
2015-12-01,183.5,237.761,5.0,18435.137,0.91,40.58,2.15,396822.0,112.1134,0.24,14.67,1211.0
2016-01-01,182.6,237.652,4.8,18525.933,.,.,.,394305.0,.,0.34,.,1171.0
2016-02-01,181.3,237.336,4.9,18525.933,0.81,31.62,1.97,397747.0,115.3331,0.38,19.98,1172.0
2016-03-01,182.1,238.080,5.0,18525.933,0.85,34.39,1.83,396522.0,113.9265,0.36,17.70,1118.0
2016-04-01,183.2,238.992,5.1,18711.702,0.76,35.36,1.79,397977.0,110.2977,0.37,13.10,1160.0
2016-05-01,185.3,239.557,4.8,18711.702,0.76,35.36,1.79,399587.0,110.2977,0.37,13.10,1205.0
2016-06-01,187.6,240.222,4.9,18711.702,0.91,49.07,1.85,404408.0,112.462,0.38,14.20,1208.0
2016-07-01,187.7,240.101,4.8,18892.639,0.59,49.02,1.46,403560.0,111.6509,0.39,14.77,1198.0
2016-08-01,186.6,240.545,4.9,18892.639,0.67,40.05,1.51,403580.0,111.9757,0.40,12.44,1201.0
2016-09-01,186.9,241.176,5.0,18892.639,0.78,43.17,1.57,405979.0,112.1733,0.40,13.48,1303.0
2016-10-01,186.7,241.741,4.9,19089.379,0.78,43.17,1.57,407000.0,112.1733,0.40,13.48,1254.0
2016-11-01,186.3,242.026,4.7,19089.379,0.83,46.66,1.83,405846.0,113.9915,0.41,18.56,1230.0
2016-12-01,188.2,242.637,4.7,19089.379,1.14,51.08,2.45,412437.0,117.6642,0.54,14.07,1248.0
2017-01-01,190.7,243.618,4.7,19280.084,1.14,51.08,2.45,415660.0,117.6642,0.65,14.07,1303.0
2017-02-01,191.6,244.006,4.6,19280.084,1.22,53.90,2.48,415563.0,116.3914,0.66,11.81,1234.0
2017-03-01,191.5,243.892,4.4,19280.084,1.29,53.82,2.46,414869.0,116.438,0.79,12.54,1272.0
2017-04-01,193.0,244.193,4.4,19438.643,1.29,53.82,2.46,416613.0,116.438,0.90,12.54,1251.0
2017-05-01,192.8,244.004,4.4,19438.643,1.28,48.83,2.33,414253.0,114.5921,0.91,10.11,1208.0
2017-06-01,193.6,244.163,4.3,19438.643,1.28,48.32,2.21,416255.0,113.3017,1.04,9.89,1353.0
2017-07-01,193.5,244.243,4.3,19692.595,1.28,48.32,2.21,416403.0,113.3017,1.15,9.89,1256.0
2017-08-01,193.8,245.183,4.4,19692.595,1.34,49.19,2.26,416861.0,109.8495,1.16,10.09,1319.0
2017-09-01,194.8,246.435,4.3,19692.595,1.35,47.32,2.16,426256.0,109.0504,1.15,10.13,1273.0
2017-10-01,194.9,246.626,4.2,20037.088,1.35,47.32,2.16,426561.0,109.0504,1.15,10.13,1356.0
2017-11-01,195.9,247.284,4.2,20037.088,1.61,54.32,2.37,431085.0,111.7942,1.16,10.2,1299.0
2017-12-01,196.3,247.805,4.1,20037.088,1.78,58.35,2.37,433299.0,110.1413,1.30,11.43,1311.0
2018-01-01,197.9,248.859,4.0,20328.553,.,.,.,431006.0,.,1.41,.,1317.0
2018-02-01,199.3,249.529,4.1,20328.553,2.16,65.92,2.78,433647.0,106.4877,1.42,13.47,1321.0
